id,mass (g),reclat,reclong
11435.0,2910.0,39.80417,122.76389
11437.0,1900.0,37.1,118.4
11439.0,39000.0,38.73333,-6.01667
11440.0,1915.0,43.76667,20.23333
11442.0,288.0,13.5,-0.68333
11443.0,968.0,9.91667,13.98333
11448.0,2449.0,22.98333,76.05
11449.0,100000.0,11.49167,11.65833
11450.0,5700.0,42.9,24.7
11464.0,28.0,13.78333,78.56667
11465.0,34650.0,9.36667,42.41667
11466.0,1000.0,51.91667,8.38333
11467.0,1320.0,35.0,127.5
11468.0,0.2,35.65,139.33333
11472.0,9000.0,50.31667,3.73333
11479.0,1456.0,57.81667,16.23333
11485.0,3710.0,41.38333,-86.6
11824.0,1000.0,26.8,82.53333
11829.0,315.0,28.38333,75.78333
11830.0,8360.0,32.675,-94.51167
11842.0,680.0,38.25,-86.16667
11848.0,1110.6,35.2945,136.70033
11852.0,1250.0,28.95,0.81667
11855.0,29000.0,51.65,-1.51667
11859.0,1544.0,60.24556,22.06194
11869.0,3500.0,55.46667,13.78333
11870.0,6100.0,27.33333,35.66667
11875.0,1000.0,10.0,-84.1
11878.0,20000.0,59.85,17.66667
11883.0,750.0,33.6,130.43333
11884.0,4500.0,55.9,-4.23333
11889.0,414.0,34.45,132.38333
44714.0,167.7,1.345,31.47278
11893.0,305.5,64.43333,21.2
11894.0,220000.0,34.9,-110.18333
11895.0,1415.0,9.06667,38.41667
11901.0,230000.0,41.8,-91.86667
11904.0,2420.0,21.3,-157.86667
11913.0,180.0,35.66667,115.5
11915.0,266.1,39.35,-100.45
11916.0,49000.0,46.1,16.33333
54719.0,1600.0,26.46469,106.63241
11986.0,112.0,50.3,8.91667
11989.0,14000.0,61.18333,22.68333
11992.0,2000.0,52.28333,7.7
11993.0,2500.0,-20.0,-45.0
11995.0,3973.0,58.2,82.93333
12000.0,3457.0,-32.1,28.33333
12003.0,1200.0,-23.2,-51.83333
12004.0,7330.0,-6.03333,145.36667
12027.0,27000.0,39.75,46.66667
12028.0,880.0,39.08333,-94.4
12037.0,3000.0,41.0,112.0
12039.0,4576.0,53.415,-111.3375
12043.0,7000.0,-25.5,-54.5
12049.0,1300.0,-8.93333,33.8
12053.0,3050.0,-31.18333,-57.95
12056.0,2024.0,-3.4,-44.33333
12058.0,4720.0,26.59083,-12.95217
12063.0,704.5,-8.41667,32.43333
12065.0,48000.0,-32.5,21.9
12067.0,973.0,26.75,68.41667
12069.0,1967.0,31.0,75.0
12072.0,22.0,18.75,75.33333
12074.0,20500.0,39.7,105.8
12078.0,34000.0,43.83333,20.44167
51589.0,3667.0,46.42137,14.05217
12085.0,5900.0,31.3,72.38333
12086.0,222.0,31.91667,104.91667
12087.0,600000.0,30.80833,109.5
12171.0,4000000.0,44.05,126.16667
47362.0,100.0,22.68,70.31333
12173.0,30.0,55.7,24.4
12198.0,40300.0,40.35,-104.9
12199.0,483.0,-11.85,15.83333
12202.0,5000.0,45.43333,-0.45
12203.0,100000.0,35.5,115.41667
12207.0,680.0,12.85,76.8
12209.0,32490.0,-7.71667,111.2
12210.0,950.0,35.2,118.8
12213.0,25250.0,38.74028,-7.27
12214.0,91000.0,44.71667,4.3
12218.0,3000.0,47.35,21.3
12220.0,13400.0,11.85,8.21667
12221.0,89.0,27.08333,78.33333
12222.0,230.0,27.25,79.96667
12227.0,1900.0,49.86667,30.83333
12228.0,2000.0,15.0,48.3
12229.0,200000.0,55.43333,53.25
12230.0,350.0,12.38333,78.51667
